,taxid,count_star()
0,915,2375
1,409291,8
2,263910,12
3,644383,6382
4,46177,8486
5,1429043,5388
6,55504,5636
7,78544,6111
8,137838,3965
9,28039,13
10,52764,1366
11,112248,3703
12,37482,3145
13,108,6867
14,2064,5875
15,269069,3
16,582665,3786
17,172044,3938
18,356829,1629
19,433330,2684
20,1582,3226
21,1123352,2998
22,134537,8696
23,362649,3395
24,452565,2772
25,827,1686
26,386056,8
27,44750,4
28,639004,4708
29,116087,1
30,59813,6158
31,244830,4497
32,1501662,1700
33,69395,3615
34,89014,3660
35,172042,2797
36,220714,1336
37,501571,3107
38,42858,2902
39,89093,1874
40,40567,6912
41,1307,1922
42,99594,2592
43,249352,3128
44,1760988,4600
45,159291,2891
46,1231337,3142
47,1196353,7164
48,871652,3242
49,154046,6044
50,36812,18
51,413403,6
52,595670,3491
53,318425,5770
54,39122,3789
55,332055,4670
56,412689,4527
57,1293441,3656
58,1267021,2270
59,872965,3144
60,1703,3434
61,522262,2216
62,1132417,4505
63,1176482,2865
64,55197,2848
65,94624,4912
66,117157,5596
67,28210,6659
68,584787,3870
69,29421,3500
70,1744,2302
71,223556,4036
72,1830,5828
73,204046,1983
74,39695,6211
75,345309,3844
76,1204385,4877
77,940613,3681
78,81895,4352
79,35554,3402
80,1221500,4145
81,215591,2754
82,157465,6417
83,487174,2808
84,574561,6846
85,42422,2452
86,1498499,2338
87,2098,529
88,1574624,2280
89,1461322,3673
90,29365,2678
91,231434,4
92,553447,6080
93,407036,3476
94,284030,32
95,1278232,2180
96,1162633,1511
97,260365,7
98,129958,2615
99,41988,3267
100,83526,2396
101,227138,2655
102,178339,1597
103,1071679,5937
104,28131,2509
105,2055,5048
106,1525,2482
107,47312,4515
108,67824,5708
109,652788,4865
110,216816,1725
111,171287,3
112,982,4663
113,190655,3522
114,735,2159
115,52694,3606
116,1043493,2745
117,134605,1852
118,220686,5084
119,113559,9271
120,333962,3766
121,346045,30
122,1186196,4688
123,68221,6803
124,232259,3609
125,419208,1745
126,66869,80
127,122,6337
128,470074,5860
129,47951,5075
130,237612,5
131,175306,3721
132,184882,3418
133,1287877,6158
134,206,1764
135,13690,5028
136,84135,1747
137,589385,8491
138,248903,6604
139,664643,3974
140,128780,4154
141,171383,4313
142,44251,4773
143,531306,1984
144,46174,2
145,66374,10
146,225196,4
147,564,4812
148,202955,3483
149,54,9143
150,46678,5598
151,1911,7108
152,29405,5305
153,1941,6358
154,302167,3886
155,1387313,6
156,43355,8632
157,67828,4861
158,67265,46
159,1506996,3486
160,123320,2806
161,391922,3668
162,92407,548
163,2144,1384
164,417203,2986
165,37483,8
166,852,1
167,511487,5987
168,274537,2423
169,61,3
170,33910,9551
171,184077,1
172,244,2
173,47492,2
174,1211807,4353
175,2143,1024
176,1223317,7506
