threshold,window_width,n_meso_total,n_thermo_total,n_meso_mean,n_thermo_mean,total_pairs
30.0,0.0,13211438,6997386,3672.9046427578537,2585.878048780488,92445531301068
30.0,5.0,1051863,4962758,3102.8407079646017,2349.7907196969695,5220141518154
30.0,10.0,314528,966243,2859.3454545454547,2064.621794871795,303910478304
30.0,15.0,141865,801595,3018.404255319149,2014.0577889447236,113718274675
35.0,0.0,18475154,4962758,3527.8124880656865,2349.7907196969695,91687718314732
35.0,5.0,13211438,966243,3672.9046427578537,2064.621794871795,12765459487434
35.0,10.0,1051863,801595,3102.8407079646017,2014.0577889447236,843168121485
35.0,15.0,314528,624784,2859.3454545454547,1928.3456790123457,196512061952
40.0,0.0,22874102,966243,3263.9985730593608,2064.621794871795,22101940938786
40.0,5.0,18475154,801595,3527.8124880656865,2014.0577889447236,14809591070630
40.0,10.0,13211438,624784,3672.9046427578537,1928.3456790123457,8254295079392
40.0,15.0,1051863,432664,3102.8407079646017,1848.991452991453,455103253032
45.0,0.0,22995297,801595,3258.970663265306,2014.0577889447236,18432915098715
45.0,5.0,22874102,624784,3263.9985730593608,1928.3456790123457,14291372943968
45.0,10.0,18475154,432664,3527.8124880656865,1848.991452991453,7993534030256
45.0,15.0,13211438,278084,3672.9046427578537,1706.0368098159508,3673889524792
50.0,0.0,23150372,624784,3251.000140429715,1928.3456790123457,14463982019648
50.0,5.0,22995297,432664,3258.970663265306,1848.991452991453,9949237181208
50.0,10.0,22874102,278084,3263.9985730593608,1706.0368098159508,6360921780568
50.0,15.0,18475154,205086,3527.8124880656865,1667.3658536585365,3788995433244
