,0
A0A562IKA7,27.0
A0A495WNP3,28.0
Q9WZY9,75.0
E4UAT9,60.0
A0A7H0GDK9,30.0
A0A0D0WW88,28.0
A0A177EBN0,65.0
A0A1G8AS42,75.0
Q9ZAE6,75.0
I3Z8K4,28.0
A0A2T5I8W7,27.0
Q9WYF6,75.0
A0A1S9G801,30.0
A0A1M4W2A2,60.0
A0A1L8CVS5,65.0
Q9X1A2,75.0
A0A1I1EJ24,30.0
C7P778,85.0
A0A6A9QMF9,88.0
A0A1T5C079,20.0
C7P6P1,85.0
A0A250VRV3,26.66666603088379
A0A975IHE4,26.0
A0A1I1QN07,12.0
A0A066UBA4,27.0
C7P5I7,85.0
A0A4Q7V073,28.0
D9RZ34,67.0
A0A1X6X9P6,28.0
A0A923HTP2,20.0
Q9X0J8,75.0
A0A7W6LIS2,30.0
A0A368ZCN3,25.0
I4AFT6,29.0
A0A7I9ZMJ2,28.0
A0A1L8CTE3,65.0
A0A4Q7UNX0,28.0
A0A3D9CY63,30.0
A0A1C4URU9,27.0
A0A1L8CSX0,65.0
D5DX02,30.0
A0A2R5EU43,30.0
A0A6A9QGZ6,88.0
A0A0K8MJ70,30.0
F2NK94,70.0
A0A7Y3INL5,28.0
A0A917LBV9,27.0
A0A7W7ITW2,30.0
A0A090T0D0,28.0
A0A7W5FH56,28.0
A0A1S9G7J4,30.0
A0A387GA15,28.0
A0A918APY5,27.33333396911621
B0KBS9,65.0
C1DXR5,68.0
A0A256G9S8,30.0
A0A6A9QCN9,88.0
F2KRI8,75.0
A0A4R6ZL84,27.0
A0A916X3L1,28.0
A0A4R6ZHY1,27.0
A0A7W4PER3,28.0
A0A7G5Z8X6,28.0
A0A1G7C1G1,30.0
F2KP72,75.0
A0A7W7IT54,30.0
A0A1W1XU00,60.0
A0A2N9JMW7,30.0
A0A1G7ZBA4,25.0
C7P7X1,85.0
A0A6A9QBY8,88.0
Q82V30,28.0
A0A4Y4CR95,27.0
A0A1H2YWF9,28.0
A0A1W1X0V6,60.0
E4U9B4,60.0
